"Date","Price","Open","High","Low","Vol.","Change %"
"16-04-2025","22.04","22.49","22.68","21.95","37.64M","-1.78%"
"15-04-2025","22.44","22.17","22.93","22.13","51.81M","1.45%"
"14-04-2025","22.12","22.08","22.23","21.87","61.90M","0.96%"
"11-04-2025","21.91","21.59","22.00","21.28","55.08M","1.48%"
"10-04-2025","21.59","22.26","22.27","21.08","72.96M","-4.00%"
"09-04-2025","22.49","21.11","22.54","20.92","95.95M","2.98%"
"08-04-2025","21.84","22.90","22.99","21.44","72.41M","-3.49%"
"07-04-2025","22.63","22.14","23.16","21.75","86.11M","-1.48%"
"04-04-2025","22.97","23.94","24.10","22.95","80.00M","-5.43%"
"03-04-2025","24.29","24.74","24.87","24.28","53.50M","-1.66%"
"02-04-2025","24.70","24.50","24.74","24.31","41.96M","0.65%"
"01-04-2025","24.54","25.29","25.34","24.52","54.44M","-3.16%"
"31-03-2025","25.34","24.80","25.42","24.61","53.50M","0.52%"
"28-03-2025","25.21","25.03","25.22","24.81","32.35M","0.80%"
"27-03-2025","25.01","25.20","25.23","24.83","51.30M","-0.79%"
"26-03-2025","25.21","25.52","25.65","25.13","49.58M","-1.33%"
"25-03-2025","25.55","26.16","26.20","25.51","47.61M","-2.26%"
"24-03-2025","26.14","26.10","26.22","25.89","37.94M","-0.53%"
"21-03-2025","26.28","26.13","26.52","26.01","350.00M","0.34%"
"20-03-2025","26.19","26.25","26.30","26.01","35.38M","-0.08%"
"19-03-2025","26.21","26.33","26.50","26.08","42.52M","-0.38%"
"18-03-2025","26.31","26.21","26.40","26.10","32.96M","1.00%"
"17-03-2025","26.05","25.74","26.15","25.58","32.68M","1.28%"
"14-03-2025","25.72","25.62","25.76","25.50","30.30M","0.47%"
"13-03-2025","25.60","25.76","26.07","25.53","36.72M","-0.43%"
"12-03-2025","25.71","25.93","25.97","25.50","37.33M","-1.08%"
"11-03-2025","25.99","26.57","26.62","25.87","44.84M","-2.44%"
"10-03-2025","26.64","26.64","27.24","26.54","53.01M","-0.34%"
"07-03-2025","26.73","26.40","26.89","26.18","54.34M","1.87%"
"06-03-2025","26.24","25.93","26.46","25.90","47.00M","1.16%"
